objProp
the_labels
num_cv_splits
num_times_to_repeat_each_label_per_cv_split
label_names_to_use
num_resample_sites
sample_sites_with_replacement
create_simultaneously_recorded_populations
sites_to_use
sites_to_exclude
time_periods_to_get_data_from
randomly_shuffle_labels_before_running
binned_site_info
the_data
curr_resample_sites_to_use
initialized
label_names_to_label_numbers_mapping
data_loaded_as_spike_counts
